ID,ES,vi,Scenario_ID,Metric_Output,Nb_Paired_Data,NUM,Score
MA2019_X1,0.364643113587909,0.000115380580708916,,Ratio,409,752,0.8
MA2020_R1,0.975046210720887,0.00980554924707681,,Ratio,138,828,0.85
MA2020_R1,1.13703703703703,0.000128547261686205,,Ratio,146,829,0.85
